country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Saudi Arabia,42700,47500,48000,46000,45100,44200,44400,44100,44500,41900,43300,41700,39400,42500,44600,45700,45700,45300,46800,44500,45400
Senegal,2320,2310,2270,2240,2170,2230,2220,2230,2310,2400,2420,2470,2430,2520,2610,2680,2680,2740,2770,2760,2780
Serbia,15000,13300,9680,6740,6930,7350,7540,8100,8330,7340,7940,8350,8950,9370,10200,10800,11900,12800,13500,13200,13400
Seychelles,14200,14400,15400,16000,15400,15100,15600,17300,18400,18300,18500,18000,17700,16800,16400,17800,19100,21000,20100,19800,20400
Sierra Leone,1250,1270,1030,1050,1030,950,965,903,910,875,909,821,993,1040,1060,1060,1070,1130,1160,1170,1210
Singapore,34900,36200,37500,40700,43800,45600,47000,49300,46600,48900,52400,50400,51900,55100,59700,62600,66200,69200,66800,64900,73100
Slovak Republic,14600,12400,11600,11800,12500,13200,14000,14900,15400,15400,15600,16200,16900,17800,18800,20000,21700,24100,25400,24000,25200
Slovenia,18900,17200,16300,16800,17700,18400,19100,20100,20800,21900,22700,23400,24200,24900,26000,27000,28400,30200,31100,28500,28700
Solomon Islands,1880,1940,2130,2150,2280,2400,2370,2270,2250,2180,1820,1630,1540,1600,1630,1680,1760,1840,1930,1800,1870
Somalia,930,921,813,817,644,637,648,613,607,605,603,603,607,611,614,616,615,615,615,615,614
South Africa,9900,9560,9130,9010,9090,9170,9390,9460,9360,9440,9700,9830,10100,10200,10600,11000,11500,11900,12100,11800,12000
South Korea,11600,12700,13400,14100,15300,16600,17700,18500,17400,19200,20800,21500,23000,23500,24600,25500,26700,28000,28600,28600,30400
South Sudan,2100,2180,2230,2240,2220,2220,2280,2440,2510,2630,2800,2890,2980,3110,3180,3360,3610,3920,3940,3960,4010
Spain,23800,24300,24400,24000,24500,25100,25600,26400,27500,28600,30000,31000,31400,31800,32300,32900,33700,34300,34200,32700,32500
